Date,Ad locations,Branding types,Targeting types,Advertiser verticals,Ad requests,Matched requests,Coverage,Clicks,Ad request CTR,CTR,Ad CTR,CPC (THB),Ad request eCPM (THB),Matched eCPM (THB),Lift,Estimated revenue (THB),Ad impressions,Ad eCPM (THB)
3/6/19,Above the fold,(Unmatched ad requests),(Unmatched ad requests),(unknown),"2,833",0,0.00%,0,0.00%,0.00%,0.00%,0,0,0,0.00%,0,0,0
3/6/19,Above the fold,Anonymous,(unknown),Arts & Entertainment,1,1,100.00%,0,0.00%,0.00%,0.00%,0,9.69,9.69,0.00%,0.01,1,9.69
3/6/19,Above the fold,Anonymous,(unknown),Business & Industrial,1,1,100.00%,0,0.00%,0.00%,0.00%,0,9.66,9.66,0.00%,0.01,1,9.66
3/6/19,Above the fold,Anonymous,(unknown),Finance,1,1,100.00%,0,0.00%,0.00%,0.00%,0,9.66,9.66,4650.00%,0.01,1,9.66
3/6/19,Above the fold,Anonymous,Contextual,Business & Industrial,1,1,100.00%,0,0.00%,0.00%,0.00%,0,9.74,9.74,0.00%,0.01,1,9.74
3/6/19,Above the fold,Anonymous,Contextual,Internet & Telecom,1,1,100.00%,0,0.00%,0.00%,0.00%,0,9.94,9.94,0.00%,0.01,1,9.94
3/6/19,Above the fold,Anonymous,Personalized,Apparel,5,5,100.00%,0,0.00%,0.00%,0.00%,0,25,25,0.00%,0.13,5,25
3/6/19,Above the fold,Anonymous,Personalized,Arts & Entertainment,4,4,100.00%,0,0.00%,0.00%,0.00%,0,8.79,8.79,0.00%,0.04,3,11.72
3/6/19,Above the fold,Anonymous,Personalized,Autos & Vehicles,1,1,100.00%,0,0.00%,0.00%,0.00%,0,21.16,21.16,0.00%,0.02,1,21.16
3/6/19,Above the fold,Anonymous,Personalized,Beauty & Personal Care,1,1,100.00%,0,0.00%,0.00%,0.00%,0,23.17,23.17,0.00%,0.02,1,23.17
3/6/19,Above the fold,Anonymous,Personalized,Business & Industrial,3,3,100.00%,0,0.00%,0.00%,0.00%,0,3.24,3.24,0.00%,0.01,1,9.71
3/6/19,Above the fold,Anonymous,Personalized,Family & Community,1,1,100.00%,0,0.00%,0.00%,0.00%,0,12.82,12.82,0.00%,0.01,1,12.82
3/6/19,Above the fold,Anonymous,Personalized,Finance,7,7,100.00%,0,0.00%,0.00%,0.00%,0,13.33,13.33,0.00%,0.09,7,13.33
3/6/19,Above the fold,Anonymous,Personalized,Home & Garden,1,1,100.00%,0,0.00%,0.00%,0.00%,0,19.71,19.71,0.00%,0.02,1,19.71
3/6/19,Above the fold,Anonymous,Personalized,"News, Books & Publications",1,1,100.00%,0,0.00%,0.00%,0.00%,0,9.69,9.69,0.00%,0.01,1,9.69
3/6/19,Above the fold,Anonymous,Personalized,Real Estate,1,1,100.00%,0,0.00%,0.00%,0.00%,0,9.76,9.76,0.00%,0.01,1,9.76
3/6/19,Above the fold,Anonymous,Personalized,Travel & Tourism,5,5,100.00%,0,0.00%,0.00%,0.00%,0,12.83,12.83,0.00%,0.06,5,12.83
3/6/19,Above the fold,Branded,(unknown),Arts & Entertainment,3,3,100.00%,0,0.00%,0.00%,0.00%,0,63.68,63.68,0.00%,0.19,3,63.68
3/6/19,Above the fold,Branded,(unknown),Autos & Vehicles,1,1,100.00%,0,0.00%,0.00%,0.00%,0,63.73,63.73,0.00%,0.06,1,63.73
3/6/19,Above the fold,Branded,(unknown),Home & Garden,1,1,100.00%,1,100.00%,100.00%,100.00%,0.06,63.94,63.94,0.00%,0.06,1,63.94
3/6/19,Above the fold,Branded,(unknown),Travel & Tourism,2,2,100.00%,0,0.00%,0.00%,0.00%,0,63.65,63.65,0.00%,0.13,2,63.65
3/6/19,Above the fold,Branded,Contextual,Autos & Vehicles,1,1,100.00%,0,0.00%,0.00%,0.00%,0,63.73,63.73,0.00%,0.06,1,63.73
3/6/19,Above the fold,Branded,Contextual,Business & Industrial,1,1,100.00%,0,0.00%,0.00%,0.00%,0,63.94,63.94,0.00%,0.06,1,63.94
3/6/19,Above the fold,Branded,Contextual,Dining & Nightlife,1,1,100.00%,0,0.00%,0.00%,0.00%,0,63.94,63.94,0.00%,0.06,1,63.94
3/6/19,Above the fold,Branded,Contextual,Internet & Telecom,2,2,100.00%,0,0.00%,0.00%,0.00%,0,73.47,73.47,0.00%,0.15,2,73.47
