Bid ranges (gross),Advertisers,Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
THB 0.00 - THB 3.18,TRUE,"3,023",2.29,0,0,0,0,0.00%
THB 0.00 - THB 3.19,TRUE,"32,569",2.13,0,0,0,0,0.00%
THB 3.18 - THB 6.36,TRUE,"4,396",4.7,0,0,0,0,0.00%
THB 3.19 - THB 6.39,TRUE,"25,794",4.51,0,0,0,0,0.00%
THB 6.36 - THB 9.54,TRUE,"2,304",7.75,0,0,0,0,0.00%
THB 6.39 - THB 9.58,TRUE,"10,659",7.73,0,0,0,0,0.00%
THB 9.54 - THB 12.72,TRUE,"2,635",11.48,0,0,0,0,0.00%
THB 9.58 - THB 12.77,TRUE,"11,344",11.49,0,0,0,0,0.00%
THB 12.72 - THB 15.90,TRUE,901,14.22,0,0,0,0,0.00%
THB 12.77 - THB 15.97,TRUE,"3,527",14.2,0,0,0,0,0.00%
THB 15.90 - THB 19.08,TRUE,650,17.42,0,0,0,0,0.00%
THB 15.97 - THB 19.16,TRUE,"2,445",17.4,0,0,0,0,0.00%
THB 19.08 - THB 22.25,TRUE,473,20.63,0,0,0,0,0.00%
THB 19.16 - THB 22.36,TRUE,"1,813",20.59,0,0,0,0,0.00%
THB 22.25 - THB 25.43,TRUE,"2,862",25.06,0,0,0,0,0.00%
THB 22.36 - THB 25.55,TRUE,"1,443",23.76,0,0,0,0,0.00%
THB 25.43 - THB 28.61,TRUE,"68,487",28.44,0,0,0,0,0.00%
THB 25.55 - THB 28.74,TRUE,"15,786",26.46,0,0,0,0,0.00%
THB 28.61 - THB 31.79,TRUE,"221,921",28.93,0,0,0,0,0.00%
THB 28.74 - THB 31.94,TRUE,"753,151",29.48,0,0,0,0,0.00%
THB 31.79 - THB 34.97,TRUE,251,33.39,0,0,0,0,0.00%
THB 31.94 - THB 35.13,TRUE,735,33.33,0,0,0,0,0.00%
THB 34.97 - THB 38.15,TRUE,215,36.73,0,0,0,0,0.00%
THB 35.13 - THB 38.32,TRUE,622,36.51,0,0,0,0,0.00%
THB 38.15 - THB 41.33,TRUE,206,39.79,0,0,0,0,0.00%
THB 38.32 - THB 41.52,TRUE,539,39.67,0,0,0,0,0.00%
THB 41.33 - THB 44.51,TRUE,166,42.99,0,0,0,0,0.00%
THB 41.52 - THB 44.71,TRUE,476,42.88,0,0,0,0,0.00%
THB 44.51 - THB 47.69,TRUE,146,46.23,0,0,0,0,0.00%
THB 44.71 - THB 47.91,TRUE,400,46.03,0,0,0,0,0.00%
THB 47.69 - THB 50.87,TRUE,126,49.39,0,0,0,0,0.00%
THB 47.91 - THB 51.10,TRUE,349,49.22,0,0,0,0,0.00%
THB 50.87 - THB 54.05,TRUE,98,52.62,0,0,0,0,0.00%
THB 51.10 - THB 54.29,TRUE,311,52.5,0,0,0,0,0.00%
THB 54.05 - THB 57.23,TRUE,86,55.58,0,0,0,0,0.00%
THB 54.29 - THB 57.49,TRUE,278,55.64,0,0,0,0,0.00%
THB 57.23 - THB 60.41,TRUE,78,58.76,0,0,0,0,0.00%
THB 57.49 - THB 60.68,TRUE,250,58.74,0,0,0,0,0.00%
THB 60.41 - THB 63.59,TRUE,62,61.84,0,0,0,0,0.00%
THB 60.68 - THB 63.87,TRUE,215,61.92,0,0,0,0,0.00%
THB 63.59 - THB 66.76,TRUE,53,65.37,2.1,35,65.32,60.08,66.04%
THB 63.87 - THB 67.07,TRUE,212,65.19,7.89,132,65.18,59.74,62.26%
THB 66.76 - THB 69.94,TRUE,53,68.41,1.78,29,68.46,61.55,54.72%
THB 67.07 - THB 70.26,TRUE,202,68.3,7.82,127,68.29,61.6,62.87%
THB 69.94 - THB 73.12,TRUE,40,71.94,1.47,24,71.93,61.06,60.00%
THB 70.26 - THB 73.45,TRUE,149,71.45,6.42,108,71.47,59.48,72.48%
THB 73.12 - THB 76.30,TRUE,35,74.83,1.15,18,74.81,63.7,51.43%
THB 73.45 - THB 76.65,TRUE,126,74.58,5.41,91,74.59,59.41,72.22%
