#,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
1,THB 0.00 - THB 3.19,"2,088,654",1.51,0,0,0,0,0.00%
2,THB 3.19 - THB 6.39,"597,013",4.31,0,0,0,0,0.00%
3,THB 6.39 - THB 9.58,"225,738",7.94,0,0,0,0,0.00%
4,THB 9.58 - THB 12.77,"256,984",11.21,0,0,0,0,0.00%
5,THB 12.77 - THB 15.97,"290,400",14.62,0,0,0,0,0.00%
6,THB 15.97 - THB 19.16,"447,308",17.12,0,0,0,0,0.00%
7,THB 19.16 - THB 22.36,"185,064",20.66,0,0,0,0,0.00%
8,THB 22.36 - THB 25.55,"95,058",23.85,0,0,0,0,0.00%
9,THB 25.55 - THB 28.74,"84,146",27.19,0,0,0,0,0.00%
10,THB 28.74 - THB 31.94,"109,359",30.25,0,0,0,0,0.00%
11,THB 31.94 - THB 35.13,"65,795",33.44,0,0,0,0,0.00%
12,THB 35.13 - THB 38.32,"53,087",36.67,0,0,0,0,0.00%
13,THB 38.32 - THB 41.52,"70,837",39.95,0,0,0,0,0.00%
14,THB 41.52 - THB 44.71,"55,314",42.98,0,0,0,0,0.00%
15,THB 44.71 - THB 47.91,"47,820",46.14,0,0,0,0,0.00%
16,THB 47.91 - THB 51.10,"30,063",49.26,696.49,"15,647",49.38,44.51,52.05%
17,THB 51.10 - THB 54.29,"21,319",52.49,595.94,"13,364",52.6,44.59,62.69%
18,THB 54.29 - THB 57.49,"17,210",55.8,502.62,"11,404",55.81,44.07,66.26%
19,THB 57.49 - THB 60.68,"14,609",59,456.84,"10,262",59.07,44.52,70.24%
20,THB 60.68 - THB 63.87,"12,760",62.21,401,"9,053",62.21,44.29,70.95%
21,THB 63.87 - THB 67.07,"14,598",65.23,507.03,"11,096",65.18,45.69,76.01%
22,THB 67.07 - THB 70.26,"10,366",68.61,119.84,"2,417",67.85,49.58,23.32%
23,THB 70.26 - THB 73.45,"14,019",71.99,52.18,851,71.86,61.32,6.07%
24,THB 73.45 - THB 76.65,"24,708",75.02,55.31,892,75.04,62.01,3.61%
25,THB 76.65 - THB 79.84,"16,168",77.87,43.43,705,78.15,61.61,4.36%
26,THB 79.84 - THB 83.04,"29,061",80.59,"1,280.18","20,908",80.34,61.23,71.95%
27,THB 83.04 - THB 86.23,"10,165",84.72,259.37,"4,407",84.61,58.85,43.35%
28,THB 86.23 - THB 89.42,"11,181",87.5,245.28,"4,167",87.8,58.86,37.27%
29,THB 89.42 - THB 92.62,"6,348",90.79,252.76,"4,241",90.83,59.6,66.81%
30,THB 92.62 - THB 95.81,"5,334",94.38,198.67,"3,401",94.2,58.41,63.76%
31,THB 95.81 - THB 99.00,"4,955",97,245.03,"4,167",96.97,58.8,84.10%
32,THB 99.00 - THB 102.20,"6,076",100.47,279.73,"4,670",100.35,59.9,76.86%
33,THB 102.20 - THB 105.39,"3,014",103.79,154.33,"2,625",103.77,58.79,87.09%
34,THB 105.39 - THB 108.58,"2,855",106.96,153.55,"2,588",106.97,59.33,90.65%
35,THB 108.58 - THB 111.78,"2,850",110.05,156.57,"2,654",110.05,59,93.12%
36,THB 111.78 - THB 114.97,"2,265",113.33,125.56,"2,123",113.34,59.14,93.73%
37,THB 114.97 - THB 118.17,"3,191",116.7,179.17,"2,987",116.71,59.98,93.61%
38,THB 118.17 - THB 121.36,"2,161",119.82,116.33,"1,945",119.81,59.81,90.00%
39,THB 121.36 - THB 124.55,"2,339",122.93,131.2,"2,186",122.94,60.02,93.46%
40,THB 124.55 - THB 127.75,"3,052",126.6,138.74,"2,244",126.37,61.83,73.53%
41,THB 127.75 - THB 130.94,"2,075",128.81,114.75,"1,911",128.82,60.05,92.10%
42,THB 130.94 - THB 134.13,"1,239",132.53,67.64,"1,158",132.54,58.41,93.46%
43,THB 134.13 - THB 137.33,"7,470",136.09,432.4,"7,027",136.09,61.53,94.07%
44,THB 137.33 - THB 140.52,"5,966",138.63,340.57,"5,520",138.61,61.7,92.52%
45,THB 140.52 - THB 143.72,"1,053",142.05,57.71,974,142.04,59.25,92.50%
46,THB 143.72 - THB 146.91,"1,564",145.28,91.17,"1,479",145.27,61.64,94.57%
47,THB 146.91 - THB 150.10,"1,995",149.4,115.34,"1,877",149.41,61.45,94.09%
48,THB 150.10 - THB 153.30,"1,284",151.95,74.44,"1,226",151.96,60.71,95.48%
49,THB 153.30 - THB 156.49,"3,361",155.55,203.16,"3,177",155.57,63.95,94.53%
50,THB 156.49 - THB 159.68,"1,468",157.94,86.11,"1,377",157.95,62.53,93.80%
51,THB 159.68 - THB 162.88,"1,787",160.71,101.6,"1,638",160.76,62.03,91.66%
52,THB 162.88 - THB 166.07,729,164.53,42.44,690,164.53,61.51,94.65%
53,THB 166.07 - THB 169.26,720,167.7,44.36,693,167.7,64.02,96.25%
54,THB 169.26 - THB 172.46,592,170.83,33.49,563,170.83,59.48,95.10%
55,THB 172.46 - THB 175.65,568,173.99,33.17,540,173.98,61.42,95.07%
56,THB 175.65 - THB 178.85,568,177.27,33.08,527,177.28,62.78,92.78%
57,THB 178.85 - THB 182.04,490,180.45,28.93,464,180.45,62.36,94.69%
58,THB 182.04 - THB 185.23,506,183.57,30.68,481,183.57,63.78,95.06%
59,THB 185.23 - THB 188.43,403,186.85,23.99,378,186.85,63.46,93.80%
60,THB 188.43 - THB 191.62,777,189.68,49.22,749,189.67,65.72,96.40%
61,THB 191.62 - THB 194.81,551,193.25,33.51,519,193.26,64.57,94.19%
62,THB 194.81 - THB 198.01,717,196.42,45.24,685,196.42,66.04,95.54%
63,THB 198.01 - THB 201.20,"1,030",199.49,66.91,995,199.48,67.25,96.60%
64,THB 201.20 - THB 204.39,"1,232",203.15,81.47,"1,188",203.15,68.58,96.43%
65,THB 204.39 - THB 207.59,437,206.04,26.57,413,206.04,64.32,94.51%
66,THB 207.59 - THB 210.78,513,208.86,32.92,490,208.85,67.19,95.52%
67,THB 210.78 - THB 213.98,557,212.09,35.5,531,212.11,66.85,95.33%
68,THB 213.98 - THB 217.17,414,215.52,25.44,389,215.51,65.39,93.96%
69,THB 217.17 - THB 220.36,544,219.06,35.08,524,219.05,66.94,96.32%
70,THB 220.36 - THB 223.56,294,221.95,16.86,275,221.97,61.32,93.54%
71,THB 223.56 - THB 226.75,359,225.22,22.3,343,225.23,65,95.54%
72,THB 226.75 - THB 229.94,326,228.1,18.98,298,228.1,63.7,91.41%
73,THB 229.94 - THB 233.14,345,231.54,21.57,331,231.55,65.17,95.94%
74,THB 233.14 - THB 236.33,478,234.26,30.18,457,234.25,66.03,95.61%
75,THB 236.33 - THB 239.53,"1,076",237.43,70.95,998,237.44,71.09,92.75%
76,THB 239.53 - THB 242.72,242,241.04,15.72,233,241.01,67.46,96.28%
77,THB 242.72 - THB 245.91,244,244.25,14.18,225,244.28,63.03,92.21%
78,THB 245.91 - THB 249.11,329,247.03,20.16,304,247.06,66.33,92.40%
79,THB 249.11 - THB 252.30,198,250.77,12.21,188,250.76,64.94,94.95%
80,THB 252.30 - THB 255.49,425,253.87,27.71,403,253.87,68.75,94.82%
81,THB 255.49 - THB 258.69,251,256.94,15.79,240,256.95,65.79,95.62%
82,THB 258.69 - THB 261.88,198,260.25,13.16,189,260.21,69.62,95.45%
83,THB 261.88 - THB 265.07,187,263.36,11.17,171,263.34,65.33,91.44%
84,THB 265.07 - THB 268.27,171,266.65,10.85,162,266.65,66.98,94.74%
85,THB 268.27 - THB 271.46,174,269.86,10.82,168,269.86,64.43,96.55%
86,THB 271.46 - THB 274.66,157,273.02,9.74,145,273.04,67.18,92.36%
87,THB 274.66 - THB 277.85,484,275.58,33.51,467,275.57,71.76,96.49%
88,THB 277.85 - THB 281.04,532,279.94,37.05,520,279.95,71.26,97.74%
89,THB 281.04 - THB 284.24,163,282.58,10.44,156,282.58,66.94,95.71%
90,THB 284.24 - THB 287.43,171,285.75,11.33,167,285.75,67.85,97.66%
91,THB 287.43 - THB 290.62,175,289,10.83,165,289.03,65.62,94.29%
92,THB 290.62 - THB 293.82,147,292.14,9.21,139,292.13,66.26,94.56%
93,THB 293.82 - THB 297.01,185,294.97,12.45,177,294.95,70.36,95.68%
94,THB 297.01 - THB 300.21,131,298.62,8.37,126,298.59,66.45,96.18%
95,THB 300.21 - THB 303.40,124,301.63,7.28,116,301.57,62.77,93.55%
96,THB 303.40 - THB 306.59,153,305.01,10.03,148,305.01,67.8,96.73%
97,THB 306.59 - THB 309.79,151,308.1,10.44,147,308.08,71.01,97.35%
98,THB 309.79 - THB 312.98,106,311.5,6.96,101,311.51,68.86,95.28%
99,THB 312.98 - THB 316.17,124,314.57,7.87,117,314.58,67.25,94.35%
100,THB 316.17 - THB 319.37,125,317.73,7.47,116,317.77,64.43,92.80%
101,THB 319.37 - THB 322.56,"1,033",319.67,75.72,950,319.68,79.7,91.97%
102,THB 322.56 - THB 325.75,106,324.13,6.41,99,324.11,64.71,93.40%
103,THB 325.75 - THB 328.95,112,327.18,7.06,106,327.17,66.59,94.64%
104,THB 328.95 - THB 332.14,94,330.44,5.9,90,330.41,65.58,95.74%
105,THB 332.14 - THB 335.34,124,333.63,8.15,121,333.62,67.33,97.58%
106,THB 335.34 - THB 338.53,126,336.8,7.23,112,336.89,64.57,88.89%
107,THB 338.53 - THB 341.72,82,340.04,5.67,80,340.02,70.93,97.56%
108,THB 341.72 - THB 344.92,84,343.34,5.2,82,343.36,63.47,97.62%
109,THB 344.92 - THB 348.11,97,346.37,6.34,93,346.35,68.19,95.88%
110,THB 348.11 - THB 351.30,98,349.67,6.15,93,349.68,66.1,94.90%
111,THB 351.30 - THB 354.50,89,352.81,5.88,85,352.85,69.16,95.51%
112,THB 354.50 - THB 357.69,91,356.12,6.33,87,356.14,72.75,95.60%
113,THB 357.69 - THB 360.88,94,359.41,5.99,92,359.42,65.16,97.87%
114,THB 360.88 - THB 364.08,102,362.33,7.02,100,362.34,70.19,98.04%
115,THB 364.08 - THB 367.27,94,365.55,6.72,93,365.55,72.27,98.94%
116,THB 367.27 - THB 370.47,70,368.91,4.36,67,368.94,65.01,95.71%
117,THB 370.47 - THB 373.66,74,372.11,4.82,71,372.07,67.83,95.95%
118,THB 373.66 - THB 376.85,86,375.41,6.07,81,375.38,74.91,94.19%
119,THB 376.85 - THB 380.05,62,378.24,3.89,54,378.19,71.99,87.10%
120,THB 380.05 - THB 383.24,79,381.72,5.47,78,381.71,70.18,98.73%
121,THB 383.24 - THB 386.43,71,384.8,4.44,67,384.8,66.23,94.37%
122,THB 386.43 - THB 389.63,81,388.03,5.32,78,388.02,68.25,96.30%
123,THB 389.63 - THB 392.82,90,391.06,6.01,88,391.07,68.27,97.78%
124,THB 392.82 - THB 396.02,81,394.43,5.87,79,394.42,74.3,97.53%
125,THB 396.02 - THB 399.21,65,397.54,4.69,64,397.55,73.27,98.46%
126,THB 399.21 - THB 402.40,87,400.73,5.88,82,400.73,71.72,94.25%
127,THB 402.40 - THB 405.60,57,403.91,3.46,53,403.9,65.27,92.98%
128,THB 405.60 - THB 408.79,61,407.24,3.49,58,407.27,60.21,95.08%
129,THB 408.79 - THB 411.98,65,410.56,4.66,64,410.56,72.78,98.46%
130,THB 411.98 - THB 415.18,73,413.58,4.63,69,413.54,67.05,94.52%
131,THB 415.18 - THB 418.37,56,416.87,3.75,53,416.9,70.83,94.64%
132,THB 418.37 - THB 421.56,62,419.89,4.21,60,419.89,70.16,96.77%
133,THB 421.56 - THB 424.76,85,423.11,5.4,77,423.08,70.18,90.59%
