Bid ranges (gross),Advertisers,Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
THB 0.00 - THB 3.19,Accor Group,28,1.78,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Adobe Systems,2,0.81,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Alaeo,23,0.58,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Alibaba Group Holding,1,2.49,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Alphabet,8,1.86,0,0,0,0,0.00%
THB 0.00 - THB 3.19,BANYAN TREE HOLDINGS LIMITED,96,1.89,0,0,0,0,0.00%
THB 0.00 - THB 3.19,BCD Holdings,"1,247",2.04,0,0,0,0,0.00%
THB 0.00 - THB 3.19,BNP Paribas,2,2.41,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Booking Holdings,"28,816",2.09,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Canon,"6,505",1.74,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Carlson,2,0.32,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Central Group,"7,553",2.19,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Cheung Kong Group,"70,657",2.38,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Cigna,129,1.99,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Columbia University,127,0.41,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Comcast Corporation,85,1.57,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Ctrip,"1,493",2.06,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Emirates Group,272,2.43,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Eniro,1,1.6,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Facebook,"8,930",0.64,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Ford Motor Company,"135,060",1.87,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Fragrance X,10,1.87,0,0,0,0,0.00%
THB 0.00 - THB 3.19,General Electric Company,"2,254",2.05,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Government Of Qatar,1,3.06,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Grab Taxi,135,1.82,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Hainan Airlines,"4,645",1.4,0,0,0,0,0.00%
THB 0.00 - THB 3.19,HM Government,"46,502",0.53,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Hotels Combined,"3,694",2.3,0,0,0,0,0.00%
THB 0.00 - THB 3.19,HP Inc,4,2.32,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Huawei Technologies,"5,739",1.14,0,0,0,0,0.00%
THB 0.00 - THB 3.19,IAC,91,1.96,0,0,0,0,0.00%
THB 0.00 - THB 3.19,ICart - happyfresh.com,117,2.29,0,0,0,0,0.00%
THB 0.00 - THB 3.19,Inmagine,10,0.88,0,0,0,0,0.00%
