Advertisers,Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
Dnata Travel UK Ltd,10.00,213.54,0.59,10.00,213.54,58.64,1.00
21st Century Fox,299.00,322.23,13.38,296.00,322.71,45.21,0.99
AARP,51.00,110.90,3.01,49.00,111.26,61.44,0.96
Accor Group,1957.00,49.36,12.98,157.00,173.87,82.66,0.08
Ad Counsil,416.00,99.32,22.40,362.00,99.32,61.89,0.87
Adobe Systems,43.00,14.97,0.06,1.00,95.69,63.69,0.02
Aerolineas Argentinas,2.00,2641.87,2.36,2.00,2641.87,1181.79,1.00
Air France-KLM Group,252.00,263.58,15.42,208.00,287.27,74.14,0.83
Air New Zealand,5.00,17.53,0.00,0.00,0.00,0.00,0.00
Al Habtoor Motors,5.00,87.89,0.00,0.00,0.00,0.00,0.00
Alaska Air Group,3.00,308.35,0.19,3.00,308.35,63.81,1.00
All Nippon Airways,498.00,13.12,0.26,4.00,110.16,63.76,0.01
Alphabet,30.00,61.16,0.76,13.00,98.18,58.81,0.43
Altice Group,1671.00,54.08,20.79,340.00,96.40,61.16,0.20
Amazon Corp,12.00,21.58,0.06,1.00,254.74,63.69,0.08
Banggood,1.00,91.80,0.06,1.00,91.80,63.69,1.00
Bank of Ireland,1.00,46.29,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,13064.00,10.40,15.90,324.00,224.86,49.07,0.02
Barneys,5.00,7.47,0.00,0.00,0.00,0.00,0.00
Best Buy,631339.00,3.92,0.00,0.00,0.00,0.00,0.00
Best Western,40.00,37.65,0.06,1.00,910.02,63.69,0.03
BNP Paribas,1147.00,18.05,0.00,0.00,0.00,0.00,0.00
Booking Holdings,195161.00,5.55,46.60,762.00,121.93,61.15,0.00
CapitaLand,69.00,47.84,0.00,0.00,0.00,0.00,0.00
Carlson,42.00,15.94,0.00,0.00,0.00,0.00,0.00
Cendyn/ONE,3.00,319.13,0.06,3.00,319.13,21.30,1.00
Central Group,2598.00,197.56,138.55,1583.00,249.56,87.52,0.61
Chatrium Hotels & Residences,228.00,556.83,23.63,214.00,579.32,110.42,0.94
Choice Hotels International,6.00,15.94,0.00,0.00,0.00,0.00,0.00
Chow Tai Fook,359.00,356.85,24.66,351.00,362.34,70.27,0.98
CIMB,907.00,46.59,0.00,0.00,0.00,0.00,0.00
Citigroup,294.00,24.02,0.00,0.00,0.00,0.00,0.00
Colonial Williamsburg,1.00,223.00,0.06,1.00,223.00,63.72,1.00
Columbia University,363.00,5.16,0.26,4.00,368.95,63.79,0.01
Comcast Corporation,227.00,7.06,0.64,10.00,120.91,63.79,0.04
Compagnie Des Alpes,5.00,391.18,0.13,5.00,391.18,25.56,1.00
Cox Enterprises,1.00,254.51,0.06,1.00,254.51,63.63,1.00
Despegar.com,3.00,78.33,0.19,3.00,78.33,63.74,1.00
Dorotheum GmbH,3.00,9.05,0.00,0.00,0.00,0.00,0.00
eBay Inc.,603614.00,5.17,3.00,48.00,86.98,62.54,0.00
Emirates Group,12620.00,8.76,1.40,21.00,112.67,66.49,0.00
Ernst & Young Global,497.00,3010.57,18.54,497.00,3010.57,37.30,1.00
Evergreen Group,34.00,1127.88,4.23,34.00,1127.88,124.46,1.00
Experian,11.00,53.47,0.45,7.00,71.74,63.77,0.64
Facebook,108968.00,53.59,688.48,28665.00,181.99,24.02,0.26
Fairmont Hotels,540.00,54.13,0.00,0.00,0.00,0.00,0.00
Far East Organization,651.00,42.27,3.24,44.00,176.49,73.64,0.07
Farfetch,4.00,2.89,0.00,0.00,0.00,0.00,0.00
Farm Rio,5.00,27.46,0.00,0.00,0.00,0.00,0.00
Fast Retailing,1056.00,188.70,61.09,848.00,200.09,72.04,0.80
Forex Global Market,29.00,113.09,1.69,27.00,114.23,62.53,0.93
Forzieri,41.00,14.02,0.00,0.00,0.00,0.00,0.00
Fragrance X,12.00,3.65,0.00,0.00,0.00,0.00,0.00
GMMB,42.00,1.31,0.00,0.00,0.00,0.00,0.00
Government Of Qatar,9024.00,51.78,94.46,1363.00,181.51,69.30,0.15
Grab Taxi,46980.00,22.98,2.68,45.00,92.35,59.53,0.00
Greats,7.00,137.63,0.06,1.00,816.64,63.69,0.14
Hainan Airlines,4763.00,8.33,8.00,117.00,233.58,68.41,0.02
Hanjin Group,86.00,4566.74,28.23,83.00,4718.90,340.16,0.97
Harvard University,1.00,110.66,0.00,0.00,0.00,0.00,0.00
Hilton Worldwide Group,217.00,280.07,15.18,207.00,283.99,73.33,0.95
HM Government,124633.00,0.59,0.00,0.00,0.00,0.00,0.00
HNA Group,3193.00,1.42,0.00,0.00,0.00,0.00,0.00
Hongkong & Shanghai Hotels,520.00,77.83,3.44,48.00,189.54,71.61,0.09
Huawei Technologies,87370.00,95.23,1434.21,46817.00,135.04,30.63,0.54
Hyatt,340.00,105.87,13.44,212.00,141.72,63.39,0.62
IAC,1700.00,33.99,9.42,129.00,227.75,73.06,0.08
ICart - happyfresh.com,26721.00,21.43,75.14,1006.00,357.37,74.69,0.04
IKEA,198.00,91.63,11.62,194.00,91.62,59.92,0.98
"Informations Systems Audit & Control Assoc, Inc",92.00,210.09,4.16,58.00,243.52,71.78,0.63
Inmagine,7.00,0.96,0.00,0.00,0.00,0.00,0.00
Intercontinental Hotels Group,641.00,253.35,44.61,566.00,261.82,78.82,0.88
Intrawest,449.00,0.55,0.00,0.00,0.00,0.00,0.00
JAL,8560.00,72.71,284.44,4664.00,79.70,60.99,0.54
JB Hi-Fi,18.00,4.31,0.00,0.00,0.00,0.00,0.00
Jones Group,39.00,186.51,1.34,35.00,191.70,38.20,0.90
JTB,96.00,294.12,6.18,78.00,327.27,79.18,0.81
Kal Tire,320.00,0.43,0.00,0.00,0.00,0.00,0.00
Kansas State University,3.00,93.00,0.19,3.00,93.00,63.76,1.00
Kerzner International Holdings,8.00,127.47,0.51,6.00,127.50,85.83,0.75
Kuok Group,969.00,88.73,13.73,172.00,393.69,79.82,0.18
LATAM Airlines,17.00,27.73,0.00,0.00,0.00,0.00,0.00
Live Nation Entertainment,74.00,63.33,1.66,28.00,63.74,59.18,0.38
Marina Bay Sands,3307.00,24.98,15.19,186.00,306.67,81.65,0.06
Marriott International,20246.00,102.28,714.99,12491.00,158.42,57.24,0.62
McDonald's Corporation,14533.00,6.23,0.00,0.00,0.00,0.00,0.00
Mediamath,6.00,319.46,0.06,6.00,319.46,10.65,1.00
MeiTuan,2.00,97.87,0.13,2.00,97.87,63.69,1.00
Melia Hotels International,59.00,166.61,3.64,59.00,166.61,61.64,1.00
Meridiana,51.00,12.15,0.00,0.00,0.00,0.00,0.00
Microsoft Corp.,1417.00,40.63,10.52,158.00,169.35,66.61,0.11
Minor Group International,16872.00,42.94,274.25,4511.00,122.52,60.80,0.27
Movenpick Holding,23.00,4710.24,19.28,23.00,4710.24,838.32,1.00
Nestle,17.00,44.62,0.00,0.00,0.00,0.00,0.00
Netflix,761773.00,38.99,4750.50,81911.00,120.59,58.00,0.11
Nike,21.00,12.35,0.00,0.00,0.00,0.00,0.00
Northshore University Health System,2.00,80.11,0.13,2.00,80.11,63.89,1.00
ONYX Hospitality Group,2235.00,151.64,116.46,1797.00,158.87,64.81,0.80
PayPal,75134.00,1.90,0.00,0.00,0.00,0.00,0.00
Qantas Group,1800.00,529.70,157.41,1736.00,532.32,90.68,0.96
Radissonblu,99.00,36.18,0.15,3.00,715.49,50.86,0.03
Realogy Holdings Corporation,1.00,226.03,0.06,1.00,226.03,63.72,1.00
Recruit,114.00,213.65,6.69,112.00,217.07,59.75,0.98
Renault Group,288722.00,12.98,1.85,32.00,98.48,57.81,0.00
Rixos Hotels,1.00,15.97,0.00,0.00,0.00,0.00,0.00
Rocket Internet,1224800.00,11.17,1050.75,17253.00,138.30,60.90,0.01
Samsung Group,2.00,35.57,0.00,0.00,0.00,0.00,0.00
Shiseido,5837.00,1.07,0.00,0.00,0.00,0.00,0.00
Shoprite Holdings,145.00,21.41,0.00,0.00,0.00,0.00,0.00
Shutterstock,89810.00,11.92,76.02,1220.00,159.43,62.31,0.01
Singapore Airlines Group,2114.00,76.31,28.56,432.00,240.23,66.12,0.20
Singapore Grand Prix,12.00,81.14,0.38,6.00,81.23,63.82,0.50
Six Senses Hotels Resorts Spas,1448.00,55.34,8.68,151.00,107.39,57.50,0.10
Square Enix Holdings,199.00,0.95,0.00,0.00,0.00,0.00,0.00
Standard Chartered,4.00,10.44,0.00,0.00,0.00,0.00,0.00
StarHub,25.00,463.06,1.17,12.00,894.89,97.42,0.48
SurfStitch Group,3.00,227.34,0.19,3.00,227.34,63.63,1.00
Swarovski Group,1203.00,22.64,0.83,14.00,116.88,59.21,0.01
Tata Group,2.00,34.02,0.00,0.00,0.00,0.00,0.00
TD Bank Group,2.00,198.35,0.13,2.00,198.35,63.88,1.00
Telefonica,1028.00,1.90,0.06,1.00,91.68,63.69,0.00
Telenor Group,285426.00,19.07,716.71,10983.00,210.68,65.26,0.04
Terranea,3.00,71.65,0.00,0.00,0.00,0.00,0.00
The Economist Group,16.00,140.53,0.89,15.00,142.49,59.51,0.94
The Walt Disney Company,607.00,139.52,9.71,97.00,515.32,100.07,0.16
Travelclick,3368.00,67.89,32.90,408.00,392.81,80.63,0.12
traveloka.com,287460.00,9.66,193.64,3130.00,129.47,61.87,0.01
TripAdvisor Group,90089.00,8.65,63.08,997.00,111.51,63.27,0.01
TUI Group,16.00,7.24,0.00,0.00,0.00,0.00,0.00
Tune Group,27803.00,100.45,660.58,10695.00,220.57,61.77,0.38
Unclassified advertisers,22151440.00,11.67,14598.87,241950.00,157.36,60.34,0.01
Universo Online,54.00,289.74,3.19,51.00,304.46,62.47,0.94
Viceroy Hotels,2.00,15.97,0.00,0.00,0.00,0.00,0.00
windsorcourthotel,1.00,39.77,0.00,0.00,0.00,0.00,0.00
www.indexlivingmall.com,5.00,422.36,0.51,5.00,422.36,102.09,1.00
Wyndham Worldwide,35.00,125.10,1.22,5.00,816.81,244.40,0.14
Wynn Resorts,17.00,107.04,0.44,5.00,159.24,88.05,0.29
Yahoo Corporation,4.00,55.57,0.06,1.00,78.87,63.69,0.25
Yandex,81.00,39.24,0.00,0.00,0.00,0.00,0.00
