Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
THB 0.00 - THB 3.18,6485470.00,1.52,0.00,0.00,0.00,0.00,0.00
THB 3.18 - THB 6.37,5418851.00,4.58,0.00,0.00,0.00,0.00,0.00
THB 6.37 - THB 9.55,4279173.00,7.88,0.00,0.00,0.00,0.00,0.00
THB 9.55 - THB 12.74,3613406.00,11.11,0.00,0.00,0.00,0.00,0.00
THB 12.74 - THB 15.92,2746679.00,14.13,0.00,0.00,0.00,0.00,0.00
THB 15.92 - THB 19.11,1158400.00,17.42,0.00,0.00,0.00,0.00,0.00
THB 19.11 - THB 22.29,735129.00,20.73,0.00,0.00,0.00,0.00,0.00
THB 22.29 - THB 25.47,357741.00,23.82,0.00,0.00,0.00,0.00,0.00
THB 25.47 - THB 28.66,264836.00,27.05,0.00,0.00,0.00,0.00,0.00
THB 28.66 - THB 31.84,408888.00,30.10,0.00,0.00,0.00,0.00,0.00
THB 31.84 - THB 35.03,202306.00,33.65,0.00,0.00,0.00,0.00,0.00
THB 35.03 - THB 38.21,132564.00,36.64,0.00,0.00,0.00,0.00,0.00
THB 38.21 - THB 41.40,128321.00,39.84,0.00,0.00,0.00,0.00,0.00
THB 41.40 - THB 44.58,140011.00,42.94,0.00,0.00,0.00,0.00,0.00
THB 44.58 - THB 47.76,113064.00,46.28,0.00,0.00,0.00,0.00,0.00
THB 47.76 - THB 50.95,94751.00,49.38,0.00,0.00,0.00,0.00,0.00
THB 50.95 - THB 54.13,96960.00,52.55,0.00,0.00,0.00,0.00,0.00
THB 54.13 - THB 57.32,94607.00,55.76,0.00,0.00,0.00,0.00,0.00
THB 57.32 - THB 60.50,126345.00,58.97,18.17,316.00,60.01,57.50,0.00
THB 60.50 - THB 63.69,51173.00,62.09,15.32,270.00,61.93,56.72,0.01
THB 63.69 - THB 66.87,38041.00,65.30,994.75,16648.00,65.44,59.75,0.44
THB 66.87 - THB 70.05,43364.00,68.54,844.68,14069.00,68.63,60.04,0.32
THB 70.05 - THB 73.24,44843.00,71.61,889.22,14865.00,71.50,59.82,0.33
THB 73.24 - THB 76.42,23874.00,74.74,579.91,9881.00,75.11,58.69,0.41
THB 76.42 - THB 79.61,21817.00,78.12,826.03,14299.00,78.29,57.77,0.66
THB 79.61 - THB 82.79,79429.00,80.18,4496.21,75581.00,80.18,59.49,0.95
THB 82.79 - THB 85.98,13775.00,84.55,703.79,12599.00,84.54,55.86,0.91
THB 85.98 - THB 89.16,12344.00,87.65,630.61,11530.00,87.65,54.69,0.93
