Advertisers,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
Dnata Travel UK Ltd,THB 210.16 - THB 213.35,7.00,213.34,0.40,7.00,213.34,56.43,1.00
Dnata Travel UK Ltd,THB 213.35 - THB 216.53,3.00,214.01,0.19,3.00,214.01,63.79,1.00
21st Century Fox,THB 85.98 - THB 89.16,1.00,86.68,0.00,1.00,86.68,0.00,1.00
21st Century Fox,THB 98.71 - THB 101.90,3.00,99.18,0.13,3.00,99.18,42.59,1.00
21st Century Fox,THB 108.27 - THB 111.45,1.00,108.61,0.00,1.00,108.61,0.00,1.00
21st Century Fox,THB 130.55 - THB 133.74,2.00,132.04,0.13,2.00,132.04,63.76,1.00
21st Century Fox,THB 162.40 - THB 165.58,3.00,165.16,0.13,2.00,165.17,66.17,0.67
21st Century Fox,THB 197.42 - THB 200.61,1.00,198.51,0.06,1.00,198.51,63.69,1.00
21st Century Fox,THB 229.27 - THB 232.45,1.00,230.27,0.06,1.00,230.27,63.72,1.00
21st Century Fox,THB 327.98 - THB 331.16,284.00,329.83,12.70,282.00,329.83,45.05,0.99
AARP,THB 82.79 - THB 85.98,10.00,84.68,0.64,10.00,84.68,63.67,1.00
AARP,THB 101.90 - THB 105.08,28.00,101.95,1.53,26.00,101.94,58.87,0.93
AARP,THB 105.08 - THB 108.27,2.00,108.37,0.13,2.00,108.37,63.90,1.00
AARP,THB 133.74 - THB 136.92,9.00,135.64,0.58,9.00,135.64,64.76,1.00
AARP,THB 257.93 - THB 261.11,2.00,258.35,0.13,2.00,258.35,66.22,1.00
Accor Group,THB 0.00 - THB 3.18,3.00,2.08,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 3.18 - THB 6.37,24.00,4.65,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 9.55 - THB 12.74,2.00,11.58,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 12.74 - THB 15.92,9.00,14.17,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 15.92 - THB 19.11,13.00,17.98,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 19.11 - THB 22.29,14.00,20.81,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 22.29 - THB 25.47,336.00,23.96,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 25.47 - THB 28.66,415.00,26.20,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 28.66 - THB 31.84,637.00,28.97,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 31.84 - THB 35.03,1.00,33.10,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 35.03 - THB 38.21,2.00,36.71,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 38.21 - THB 41.40,1.00,40.50,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 41.40 - THB 44.58,4.00,43.09,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 44.58 - THB 47.76,3.00,46.00,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 47.76 - THB 50.95,2.00,50.57,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 50.95 - THB 54.13,84.00,52.58,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 57.32 - THB 60.50,1.00,57.93,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 60.50 - THB 63.69,1.00,60.94,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 63.69 - THB 66.87,2.00,64.97,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 66.87 - THB 70.05,3.00,68.55,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 70.05 - THB 73.24,10.00,71.97,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 76.42 - THB 79.61,1.00,77.96,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 79.61 - THB 82.79,1.00,79.87,0.06,1.00,79.87,63.90,1.00
Accor Group,THB 82.79 - THB 85.98,1.00,85.14,0.06,1.00,85.14,63.90,1.00
Accor Group,THB 92.34 - THB 95.53,2.00,95.40,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 101.90 - THB 105.08,1.00,103.61,0.00,0.00,0.00,0.00,0.00
Accor Group,THB 105.08 - THB 108.27,229.00,105.22,1.52,22.00,105.14,69.20,0.10
Accor Group,THB 108.27 - THB 111.45,6.00,111.63,0.13,2.00,111.63,63.90,0.33
Accor Group,THB 111.45 - THB 114.63,17.00,111.79,0.59,9.00,111.76,65.70,0.53
Accor Group,THB 121.00 - THB 124.19,1.00,122.90,0.10,1.00,122.90,98.30,1.00
Accor Group,THB 133.74 - THB 136.92,12.00,136.39,0.64,7.00,136.46,91.15,0.58
Accor Group,THB 159.21 - THB 162.40,102.00,159.48,6.74,97.00,159.48,69.48,0.95
Accor Group,THB 318.43 - THB 321.61,7.00,322.12,1.32,7.00,322.12,188.11,1.00
Accor Group,THB 477.64 - THB 480.82,10.00,478.78,1.82,10.00,478.78,181.55,1.00
Ad Counsil,THB 98.71 - THB 101.90,416.00,99.32,22.40,362.00,99.32,61.89,0.87
Adobe Systems,THB 0.00 - THB 3.18,17.00,1.84,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 3.18 - THB 6.37,7.00,4.10,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 12.74 - THB 15.92,3.00,14.64,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 15.92 - THB 19.11,4.00,17.36,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 19.11 - THB 22.29,3.00,20.40,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 22.29 - THB 25.47,2.00,24.12,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 25.47 - THB 28.66,1.00,27.23,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 41.40 - THB 44.58,2.00,42.13,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 44.58 - THB 47.76,1.00,45.44,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 50.95 - THB 54.13,1.00,52.89,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 54.13 - THB 57.32,1.00,55.50,0.00,0.00,0.00,0.00,0.00
Adobe Systems,THB 95.53 - THB 98.71,1.00,95.69,0.06,1.00,95.69,63.69,1.00
